epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.398,1.47898,2.91775,1.41045,0.59392,0.43306,0.46081,0.25023,1.50311,1.78346,1.28968,0.00333093,0.00333093,0.00333093
2,515.598,1.40332,1.8384,1.31785,0.60254,0.49714,0.5172,0.28918,1.46675,1.60192,1.26847,0.00653231,0.00653231,0.00653231
3,768.398,1.45251,1.66607,1.3458,0.58395,0.38929,0.41567,0.21751,1.6284,1.90959,1.43175,0.0096017,0.0096017,0.0096017
4,1021.02,1.45704,1.58592,1.35171,0.67276,0.52331,0.5659,0.32466,1.45884,1.41279,1.2953,0.009406,0.009406,0.009406
5,1273.93,1.38957,1.45215,1.30802,0.69746,0.54592,0.59747,0.34617,1.37476,1.28759,1.22166,0.009208,0.009208,0.009208
6,1525.79,1.34022,1.36972,1.27858,0.71096,0.57969,0.63659,0.38719,1.32758,1.21399,1.2057,0.00901,0.00901,0.00901
7,1777.82,1.31149,1.31252,1.25721,0.72514,0.58624,0.6519,0.39981,1.28477,1.15524,1.16607,0.008812,0.008812,0.008812
8,2030.34,1.28209,1.26814,1.24361,0.72017,0.62624,0.68393,0.42354,1.25413,1.10152,1.15032,0.008614,0.008614,0.008614
9,2281.39,1.25383,1.23102,1.22765,0.75346,0.61697,0.68677,0.43021,1.2346,1.07488,1.13361,0.008416,0.008416,0.008416
10,2532.47,1.23955,1.19922,1.21257,0.75821,0.62676,0.70014,0.43966,1.20512,1.04241,1.12001,0.008218,0.008218,0.008218
11,2783.06,1.22928,1.17943,1.20502,0.76305,0.63476,0.71273,0.45542,1.17761,1.01133,1.09773,0.00802,0.00802,0.00802
12,3033.54,1.21306,1.15493,1.19749,0.77246,0.63953,0.72062,0.4603,1.16819,0.99933,1.09306,0.007822,0.007822,0.007822
13,3284.45,1.19866,1.13798,1.18774,0.76593,0.65851,0.72868,0.4676,1.15147,0.97793,1.07953,0.007624,0.007624,0.007624
14,3537.04,1.19368,1.12334,1.18368,0.77677,0.65759,0.73031,0.47308,1.14848,0.9677,1.07737,0.007426,0.007426,0.007426
15,3788.44,1.18193,1.11108,1.17919,0.7706,0.66928,0.73836,0.48007,1.13793,0.95421,1.07058,0.007228,0.007228,0.007228
16,4040.98,1.17542,1.09375,1.17344,0.77554,0.66869,0.74076,0.48508,1.12867,0.93733,1.06479,0.00703,0.00703,0.00703
17,4291.93,1.16536,1.08037,1.16887,0.78051,0.67582,0.74692,0.48798,1.12754,0.92745,1.06582,0.006832,0.006832,0.006832
18,4540.98,1.15275,1.06507,1.16231,0.77795,0.6792,0.74957,0.49097,1.12086,0.91754,1.06201,0.006634,0.006634,0.006634
19,4790.61,1.14558,1.05255,1.15752,0.78211,0.68374,0.75251,0.49336,1.11703,0.90996,1.06002,0.006436,0.006436,0.006436
20,5039.71,1.13911,1.03899,1.15189,0.79014,0.67901,0.75313,0.49642,1.11445,0.90284,1.05849,0.006238,0.006238,0.006238
21,5287.89,1.13036,1.02829,1.15016,0.78963,0.68337,0.75571,0.49859,1.11022,0.89776,1.05596,0.00604,0.00604,0.00604
22,5537.89,1.1323,1.03019,1.14598,0.79404,0.68391,0.75787,0.50062,1.10813,0.89397,1.0546,0.005842,0.005842,0.005842
23,5786.95,1.11935,1.01114,1.14218,0.79313,0.68635,0.76083,0.50234,1.1054,0.88956,1.05276,0.005644,0.005644,0.005644
24,6038.25,1.11615,1.00611,1.13691,0.79072,0.69219,0.76231,0.50409,1.10258,0.88591,1.05062,0.005446,0.005446,0.005446
25,6295.1,1.10578,0.99552,1.13511,0.79283,0.69111,0.76434,0.50549,1.10065,0.88264,1.04908,0.005248,0.005248,0.005248
26,6547.73,1.10001,0.979,1.13099,0.79208,0.69168,0.7656,0.50771,1.09957,0.87827,1.04803,0.00505,0.00505,0.00505
27,6800.52,1.09821,0.97788,1.13091,0.79449,0.69288,0.76687,0.50907,1.09749,0.87506,1.04626,0.004852,0.004852,0.004852
28,7054.09,1.08664,0.96508,1.12557,0.79555,0.69514,0.76774,0.50989,1.0959,0.87247,1.04532,0.004654,0.004654,0.004654
29,7308.68,1.08158,0.95205,1.12058,0.79749,0.69621,0.76945,0.51094,1.0947,0.86952,1.04449,0.004456,0.004456,0.004456
30,7573.21,1.07642,0.95126,1.11865,0.79859,0.69752,0.76955,0.51199,1.09359,0.86661,1.04361,0.004258,0.004258,0.004258
31,8083.22,1.06811,0.94102,1.11419,0.79948,0.69898,0.7716,0.51273,1.09207,0.86401,1.04225,0.00406,0.00406,0.00406
32,8614.64,1.06748,0.9304,1.11423,0.80006,0.69824,0.77232,0.51359,1.09059,0.86069,1.04098,0.003862,0.003862,0.003862
33,9236.63,1.05732,0.92749,1.11104,0.80008,0.69852,0.77329,0.51472,1.08958,0.85837,1.04022,0.003664,0.003664,0.003664
34,9926.82,1.05397,0.91737,1.1062,0.80347,0.7,0.77441,0.51543,1.08835,0.85566,1.03902,0.003466,0.003466,0.003466
35,10632.7,1.04136,0.90082,1.10052,0.80619,0.69945,0.77574,0.51681,1.08618,0.85286,1.03731,0.003268,0.003268,0.003268
36,11155.8,1.04116,0.89474,1.0978,0.80712,0.70126,0.77745,0.51775,1.08456,0.85002,1.03614,0.00307,0.00307,0.00307
