epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,880.719,1.49246,2.92311,1.39744,0.5669,0.45518,0.45839,0.23144,1.56052,1.74332,1.31273,0.0033312,0.0033312,0.0033312
2,1639.22,1.42169,1.80793,1.31053,0.65951,0.49561,0.53617,0.2986,1.48418,1.53648,1.27752,0.00653257,0.00653257,0.00653257
3,2617.08,1.46755,1.64082,1.33245,0.55031,0.4483,0.4629,0.24547,1.67487,1.82931,1.4447,0.00960195,0.00960195,0.00960195
4,3320.91,1.47566,1.57596,1.34208,0.65917,0.52931,0.577,0.32472,1.4543,1.3634,1.2615,0.009406,0.009406,0.009406
5,4069.68,1.39511,1.43053,1.29485,0.70557,0.56552,0.61721,0.35804,1.39996,1.27101,1.22864,0.009208,0.009208,0.009208
6,4900.44,1.34978,1.34958,1.26339,0.72628,0.58196,0.64708,0.37989,1.34377,1.19658,1.19487,0.00901,0.00901,0.00901
7,6600.96,1.31587,1.29486,1.24694,0.73352,0.58836,0.65922,0.39898,1.30494,1.14342,1.17111,0.008812,0.008812,0.008812
8,7515.83,1.28355,1.24367,1.22661,0.75224,0.60866,0.68375,0.41634,1.26505,1.09923,1.14814,0.008614,0.008614,0.008614
9,8155.29,1.26695,1.21438,1.21548,0.75953,0.61321,0.68781,0.42263,1.25472,1.08235,1.14408,0.008416,0.008416,0.008416
10,8811.56,1.25267,1.19156,1.20658,0.77248,0.62559,0.69897,0.4342,1.2388,1.04578,1.13596,0.008218,0.008218,0.008218
11,9478.56,1.23998,1.16634,1.19741,0.76277,0.63915,0.71177,0.44241,1.2264,1.02282,1.12154,0.00802,0.00802,0.00802
12,10556.2,1.22428,1.14565,1.18891,0.77325,0.63794,0.71823,0.45142,1.20387,1.00957,1.11305,0.007822,0.007822,0.007822
13,12531.2,1.21608,1.12784,1.18207,0.76841,0.65657,0.72615,0.45882,1.1997,0.98858,1.10676,0.007624,0.007624,0.007624
14,14138.3,1.20832,1.10936,1.17834,0.76769,0.65858,0.73261,0.46486,1.18826,0.97097,1.10071,0.007426,0.007426,0.007426
