epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.826,1.52362,2.9121,1.35868,0.54306,0.49377,0.48163,0.24544,1.53499,1.67451,1.30886,0.00333173,0.00333173,0.00333173
2,1538.83,1.45689,1.70108,1.28279,0.68335,0.50191,0.5522,0.3122,1.4612,1.45628,1.27687,0.0065331,0.0065331,0.0065331
3,2310.09,1.5016,1.56709,1.3046,0.60373,0.46717,0.49318,0.26824,1.56748,1.63332,1.33893,0.00960246,0.00960246,0.00960246
4,3078.71,1.49842,1.51097,1.30399,0.70016,0.53766,0.59086,0.33939,1.41081,1.32548,1.23415,0.009406,0.009406,0.009406
5,3845.14,1.41123,1.35861,1.25546,0.72707,0.55931,0.62839,0.37118,1.34559,1.23637,1.18404,0.009208,0.009208,0.009208
6,4609.18,1.36064,1.27736,1.22483,0.74464,0.58381,0.65277,0.39005,1.30201,1.14946,1.16976,0.00901,0.00901,0.00901
7,5370.26,1.33338,1.23367,1.21001,0.7436,0.60444,0.67097,0.40981,1.26238,1.1022,1.13543,0.008812,0.008812,0.008812
8,6169.1,1.30325,1.19155,1.18984,0.76175,0.60749,0.68663,0.42227,1.25121,1.0619,1.12824,0.008614,0.008614,0.008614
9,6939.29,1.28395,1.15906,1.18239,0.76688,0.62021,0.6999,0.432,1.22063,1.03577,1.11354,0.008416,0.008416,0.008416
10,7705.22,1.26194,1.12807,1.17167,0.76327,0.63368,0.70674,0.44327,1.20601,1.00349,1.10572,0.008218,0.008218,0.008218
11,8478.83,1.25231,1.10971,1.16554,0.77411,0.6344,0.71288,0.44835,1.19061,0.98761,1.09393,0.00802,0.00802,0.00802
12,9244.86,1.23703,1.09258,1.15473,0.77045,0.63724,0.71699,0.45414,1.18204,0.97704,1.08997,0.007822,0.007822,0.007822
13,10015.6,1.2262,1.07378,1.1508,0.76718,0.64451,0.7196,0.45713,1.17758,0.96837,1.08718,0.007624,0.007624,0.007624
14,10779,1.21655,1.06254,1.14439,0.77502,0.64527,0.7217,0.4598,1.17053,0.96061,1.08228,0.007426,0.007426,0.007426
15,11549.3,1.20598,1.04891,1.14007,0.77236,0.65158,0.72446,0.46235,1.16421,0.95409,1.07798,0.007228,0.007228,0.007228
16,12339.2,1.19615,1.03404,1.13368,0.77138,0.65163,0.72648,0.46469,1.16105,0.9477,1.07577,0.00703,0.00703,0.00703
17,13106.7,1.19065,1.02675,1.13077,0.77123,0.65529,0.72945,0.46747,1.15727,0.94353,1.07324,0.006832,0.006832,0.006832
18,13872.7,1.18172,1.01426,1.12757,0.77696,0.65355,0.73076,0.46938,1.15431,0.93964,1.07099,0.006634,0.006634,0.006634
19,14642.5,1.17298,1.00289,1.12187,0.78058,0.65558,0.73215,0.47105,1.15125,0.93473,1.06907,0.006436,0.006436,0.006436
20,15421.9,1.16666,0.99762,1.12033,0.77948,0.65672,0.73322,0.47243,1.14809,0.93078,1.06698,0.006238,0.006238,0.006238
21,16192.2,1.15742,0.9859,1.11422,0.78245,0.65706,0.73508,0.47422,1.14507,0.92691,1.06519,0.00604,0.00604,0.00604
22,16962.3,1.15204,0.97873,1.11235,0.78065,0.66102,0.73725,0.47611,1.14193,0.92245,1.06336,0.005842,0.005842,0.005842
23,17746.6,1.14841,0.96751,1.1095,0.7833,0.66135,0.73821,0.47827,1.13872,0.9182,1.06129,0.005644,0.005644,0.005644
24,18530.3,1.13917,0.9556,1.10366,0.78336,0.66529,0.74036,0.48014,1.13578,0.91401,1.05913,0.005446,0.005446,0.005446
25,19307.6,1.13577,0.9527,1.10263,0.78376,0.66748,0.74222,0.48244,1.1322,0.90943,1.05707,0.005248,0.005248,0.005248
26,20086.1,1.12282,0.93967,1.0982,0.78469,0.66792,0.74553,0.48425,1.12911,0.90473,1.05555,0.00505,0.00505,0.00505
27,20856.2,1.11964,0.93233,1.09527,0.78525,0.66898,0.74664,0.48608,1.12684,0.90018,1.05384,0.004852,0.004852,0.004852
28,21624.7,1.11275,0.92468,1.09215,0.78346,0.6742,0.74874,0.48832,1.12408,0.89618,1.05211,0.004654,0.004654,0.004654
29,22396.7,1.10321,0.9137,1.08791,0.77778,0.68048,0.75022,0.49013,1.12157,0.89182,1.05081,0.004456,0.004456,0.004456
30,23169.4,1.10164,0.90535,1.08495,0.78106,0.67957,0.75171,0.49225,1.11972,0.88686,1.04964,0.004258,0.004258,0.004258
31,23966.5,1.09339,0.89795,1.0843,0.78138,0.6802,0.75245,0.49371,1.11757,0.88287,1.04781,0.00406,0.00406,0.00406
32,24751.4,1.08538,0.88883,1.08019,0.78056,0.68081,0.75432,0.49555,1.11545,0.87882,1.04668,0.003862,0.003862,0.003862
33,25528.6,1.08057,0.88209,1.0778,0.78089,0.68168,0.75606,0.49703,1.11429,0.87454,1.04581,0.003664,0.003664,0.003664
34,26307,1.07191,0.86996,1.0742,0.78503,0.68272,0.75753,0.49842,1.1121,0.87087,1.04421,0.003466,0.003466,0.003466
35,27078.5,1.06944,0.86721,1.07234,0.78832,0.68482,0.75963,0.50038,1.10965,0.86666,1.04258,0.003268,0.003268,0.003268
36,27853.3,1.06395,0.85955,1.06891,0.78318,0.68781,0.76055,0.50207,1.10766,0.86248,1.04134,0.00307,0.00307,0.00307
37,28629.2,1.05559,0.85067,1.06595,0.78488,0.68896,0.76173,0.50361,1.10522,0.85945,1.03949,0.002872,0.002872,0.002872
38,29406.3,1.0479,0.84201,1.06305,0.78773,0.68922,0.76323,0.50553,1.10321,0.85511,1.03799,0.002674,0.002674,0.002674
39,30197.6,1.04462,0.83827,1.06152,0.78722,0.69273,0.76495,0.50732,1.10136,0.85151,1.03667,0.002476,0.002476,0.002476
40,30986,1.02905,0.82011,1.05428,0.78221,0.69883,0.76564,0.50917,1.09918,0.84773,1.03505,0.002278,0.002278,0.002278
41,31748.1,1.07668,0.80474,1.05769,0.79359,0.69502,0.76805,0.51089,1.09651,0.84468,1.03324,0.00208,0.00208,0.00208
42,32508.2,1.05924,0.78238,1.05182,0.78809,0.69886,0.76995,0.5128,1.09357,0.84094,1.03116,0.001882,0.001882,0.001882
43,33280.5,1.04786,0.76767,1.04578,0.79014,0.70037,0.77135,0.51508,1.09047,0.83713,1.02887,0.001684,0.001684,0.001684
44,34050.3,1.03354,0.75463,1.04019,0.79078,0.7007,0.77275,0.51713,1.08793,0.83254,1.02711,0.001486,0.001486,0.001486
45,34825.7,1.02404,0.74093,1.03392,0.79103,0.70184,0.77432,0.51882,1.08502,0.82867,1.02478,0.001288,0.001288,0.001288
46,35582.9,1.00775,0.72415,1.02689,0.79309,0.70118,0.7754,0.52065,1.0821,0.82476,1.02267,0.00109,0.00109,0.00109
47,36371.3,0.99919,0.71414,1.02463,0.80096,0.69977,0.77734,0.52274,1.0795,0.82039,1.0208,0.000892,0.000892,0.000892
48,37137.8,0.98581,0.69596,1.02037,0.8019,0.70082,0.77898,0.52486,1.07698,0.81596,1.01934,0.000694,0.000694,0.000694
49,37907.4,0.97505,0.68555,1.01473,0.80486,0.7028,0.78099,0.52642,1.07524,0.81195,1.0179,0.000496,0.000496,0.000496
50,38671.4,0.95978,0.67256,1.00784,0.80627,0.70471,0.78283,0.5284,1.07325,0.8076,1.01662,0.000298,0.000298,0.000298
